id,number,name
715,2612 ,中航 
716,2613 ,中櫃 
717,2615 ,萬海 
718,2617 ,台航 
719,2618 ,長榮航 
720,2637 ,慧洋-KY 
721,2642 ,宅配通 
722,5607 ,遠雄港 
723,5608 ,四維航 
724,6702 ,興航 
725,2701 ,萬企 
726,2702 ,華園 
727,2704 ,國賓 
728,2705 ,六福 
729,2706 ,第一店 
730,2707 ,晶華 
731,2712 ,遠雄來 
732,2722 ,夏都 
733,2723 ,美食-KY 
734,2727 ,王品 
735,2731 ,雄獅 
736,5706 ,鳳凰 
737,8940 ,新天地 
738,9943 ,好樂迪 
739,2801 ,彰銀 
740,2809 ,京城銀 
741,2812 ,台中銀 
742,2816 ,旺旺保 
743,2820 ,華票 
744,2823 ,中壽 
745,2832 ,台產 
746,2833 ,台壽保 
747,2834 ,臺企銀 
748,2836 ,高雄銀 
749,2837 ,凱基銀 
750,2838 ,聯邦銀 
751,2845 ,遠東銀 
752,2847 ,大眾銀 
753,2849 ,安泰銀 
754,2850 ,新產 
755,2851 ,中再保 
756,2852 ,第一保 
757,2855 ,統一證 
758,2856 ,元富證 
759,2867 ,三商壽 
760,2880 ,華南金 
761,2881 ,富邦金 
762,2882 ,國泰金 
763,2883 ,開發金 
764,2884 ,玉山金 
765,2885 ,元大金 
766,2886 ,兆豐金 
767,2887 ,台新金 
768,2888 ,新光金 
769,2889 ,國票金 
770,2890 ,永豐金 
771,2891 ,中信金 
772,2892 ,第一金 
773,5880 ,合庫金 
774,6005 ,群益證 
775,2601 ,益航 
776,2614 ,東森 
777,2901 ,欣欣 
778,2903 ,遠百 
779,2905 ,三商 
780,2906 ,高林 
781,2908 ,特力 
782,2910 ,統領 
783,2911 ,麗嬰房 
784,2912 ,統一超 
785,2913 ,農林 
786,2915 ,潤泰全 
787,2929 ,淘帝-KY 
788,5906 ,台南-KY 
789,5907 ,大洋-KY 
790,8429 ,金麗-KY 
791,2616 ,山隆 
792,6505 ,台塑化 
793,8926 ,台汽電 
794,9908 ,大台北 
795,9918 ,欣天然 
796,9926 ,新海 
797,9931 ,欣高 
798,9937 ,全國 
799,9103 ,美德醫療-DR 
800,910322 ,康師傅-DR 
801,910482 ,聖馬丁-DR 
802,9105 ,泰金寶-DR 
803,9106 ,新焦點-DR 
804,910708 ,恒大健-DR 
805,910801 ,金衛-DR 
806,910861 ,神州-DR 
807,9110 ,越南控-DR 
808,911608 ,明輝-DR 
809,911611 ,中泰山-DR 
810,911616 ,杜康-DR 
811,911619 ,耀傑-DR 
812,911622 ,泰聚亨-DR 
813,911626 ,MSH-DR 
814,911868 ,同方友友-DR 
815,912000 ,晨訊科-DR 
816,912398 ,友佳-DR 
817,9136 ,巨騰-DR 
818,9157 ,陽光能源-DR 
819,9188 ,精熙-DR 
820,1262 ,綠悅-KY 
821,1435 ,中福 
822,1516 ,川飛 
823,2062 ,橋椿 
824,2348 ,海悅 
825,2514 ,龍邦 
826,2904 ,匯僑 
827,3040 ,遠見 
828,4536 ,拓凱 
829,5871 ,中租-KY 
830,6184 ,大豐電 
831,6504 ,南六 
832,8033 ,雷虎 
833,8404 ,百和興業-KY 
834,8411 ,福貞-KY 
835,8422 ,可寧衛 
836,8427 ,基勝-KY 
837,9802 ,鈺齊-KY 
838,9902 ,台火 
839,9904 ,寶成 
840,9905 ,大華 
841,9907 ,統一實 
842,9910 ,豐泰 
843,9911 ,櫻花 
844,9914 ,美利達 
845,9917 ,中保 
846,9919 ,康那香 
847,9921 ,巨大 
848,9924 ,福興 
849,9925 ,新保 
850,9927 ,泰銘 
851,9928 ,中視 
852,9929 ,秋雨 
853,9930 ,中聯資源 
854,9933 ,中鼎 
855,9934 ,成霖 
856,9935 ,慶豐富 
857,9938 ,百和 
858,9939 ,宏全 
859,9940 ,信義 
860,9941 ,裕融 
861,9942 ,茂順 
862,9944 ,新麗 
863,9945 ,潤泰新 
864,9955 ,佳龍 
865,0050 ,元大台灣50 
866,0051 ,元大中型100 
867,0052 ,FB科技 
868,0053 ,元大電子 
869,0054 ,元大台商50 
870,0055 ,元大MSCI金融 
871,0056 ,元大高股息 
872,0057 ,FB摩台 
873,0058 ,FB發達 
874,0059 ,FB金融 
875,0061 ,元大寶滬深 
876,006203 ,元大MSCI台灣 
877,006204 ,永豐臺灣加權 
878,006205 ,FB上証 
879,006206 ,元大上證50 
880,006207 ,FH滬深 
881,006208 ,FB台50 
882,008201 ,BP上證50 
883,01001T ,土銀富邦R1 
884,01002T ,土銀國泰R1 
885,01003T ,兆豐新光R1 
886,01004T ,土銀富邦R2 
887,01007T ,兆豐國泰R2 
888,1799 ,易威 
889,1813 ,寶利徠 
890,3118 ,進階 
891,1258 ,其祥-KY 
892,4205 ,中華食 
893,4207 ,環泰 
894,4712 ,南璋 
895,4303 ,信立 
896,4304 ,勝昱 
897,4305 ,世坤 
898,8354 ,冠好 
899,9950 ,萬國通 
900,4401 ,東隆興 
901,4402 ,福大 
902,4406 ,新昕纖 
903,4413 ,飛寶 
904,4417 ,金洲 
905,4419 ,松懋 
906,4420 ,光明 
907,4429 ,聚紡 
908,4432 ,銘旺實 
909,1566 ,捷邦 
910,1570 ,力肯 
911,1580 ,新麥 
912,1586 ,和勤 
913,1591 ,駿吉-KY 
914,1597 ,直得 
915,1599 ,宏佳騰 
916,2066 ,世德 
917,2230 ,泰茂 
918,2233 ,宇隆 
919,3162 ,精確 
920,3226 ,至寶電 
921,3379 ,彬台 
922,4502 ,健信 
923,4503 ,金雨 
924,4506 ,崇友 
925,4510 ,高鋒 
926,4513 ,福裕 
927,4523 ,永彰 
928,4527 ,方土霖 
929,4528 ,江興鍛 
930,4530 ,宏易 
931,4533 ,協易機 
932,4534 ,慶騰 
933,4535 ,至興 
934,6122 ,擎邦 
935,6603 ,富強鑫 
936,6609 ,瀧澤科 
937,8083 ,瑞穎 
938,8107 ,大億科 
939,8255 ,朋程 
940,9951 ,皇田 
941,2061 ,風青 
942,4609 ,唐鋒 
943,1742 ,台蠟 
944,1787 ,福盈科 
945,4702 ,中美實 
946,4706 ,大恭 
947,4707 ,磐亞 
948,4711 ,永純 
949,4714 ,永捷 
950,4716 ,大立 
951,4721 ,美琪瑪 
952,4739 ,康普 
953,6506 ,雙邦 
954,6509 ,聚和 
955,1565 ,精華 
956,1593 ,祺驊 
957,1752 ,南光 
958,1777 ,生泰 
959,1781 ,合世 
960,1784 ,訊聯 
961,1788 ,杏昌 
962,1795 ,美時 
963,3317 ,尼克森 
964,3372 ,典範 
965,3438 ,類比科 
966,3176 ,基亞 
967,3205 ,佰研 
968,3218 ,大學光 
969,4102 ,永日 
970,4103 ,百略 
971,4105 ,東洋 
972,4107 ,邦特 
973,4109 ,穆拉德 
974,4111 ,濟生 
975,4114 ,健喬 
976,4120 ,友華 
977,4121 ,優盛 
978,4123 ,晟德 
979,4126 ,太醫 
980,4127 ,天良 
981,4128 ,中天 
982,4129 ,聯合 
983,4130 ,健亞 
984,4131 ,晶宇 
985,4138 ,曜亞 
986,4139 ,馬光-KY 
987,4152 ,台微體 
988,4153 ,鈺緯 
989,4154 ,康樂-KY 
990,4157 ,太景*-KY 
991,4160 ,創源 
992,4161 ,聿新科 
993,4162 ,智擎 
994,4163 ,鐿鈦 
995,4168 ,醣聯 
996,4173 ,久裕 
997,4175 ,杏一 
998,4180 ,安成藥 
999,4726 ,永昕 
1000,4728 ,雙美 
1001,4735 ,豪展 
1002,4736 ,泰博 
1003,4743 ,合一 
1004,4745 ,合富-KY 
1005,4747 ,強生 
1006,4911 ,德英 
1007,6130 ,基因 
1008,6242 ,立康 
1009,8403 ,盛弘 
1010,8406 ,金可-KY 
1011,8409 ,商之器 
1012,8432 ,東生華 
1013,8436 ,大江 
1014,2035 ,唐榮 
1015,2063 ,世鎧 
1016,5009 ,榮剛 
1017,5011 ,久陽 
1018,5013 ,強新 
1019,5014 ,建錩 
1020,5015 ,華祺 
1021,5016 ,松和 
1022,6248 ,沛波 
1023,8349 ,恒耀 
1024,8930 ,青鋼 
1025,9962 ,有益 
1026,5102 ,富強 
1027,3073 ,普格 
1028,3105 ,穩懋 
1029,3141 ,晶宏 
1030,3169 ,亞信 
1031,3188 ,鑫龍騰 
1032,3219 ,倚強 
1033,3227 ,原相 
1034,3228 ,金麗科 
1035,3259 ,鑫創 
1036,3260 ,威剛 
1037,3264 ,欣銓 
1038,3265 ,台星科 
1039,3268 ,海德威 
1040,3291 ,遠翔科 
1041,5490 ,同亨 
1042,6105 ,瑞傳 
1043,6121 ,新普 
1044,3527 ,聚積 
1045,3529 ,力旺 
1046,3553 ,力積 
1047,3555 ,重鳥鵬 
1048,3556 ,禾瑞亞 
1049,3567 ,逸昌 
1050,3658 ,漢微科 
1051,3675 ,德微 
1052,3680 ,家登 
1053,4947 ,昂寶-KY 
1054,4966 ,譜瑞-KY 
1055,4971 ,IET-KY 
1056,4973 ,廣穎 
1057,5272 ,笙科 
1058,5274 ,信驊 
1059,5302 ,太欣 
1060,5314 ,世紀 
1061,5344 ,立衛 
1062,5347 ,世界 
1063,5351 ,鈺創 
1064,5425 ,台半 
1065,5455 ,訊利電 
1066,5468 ,凱鈺 
1067,5483 ,中美晶 
1068,5487 ,通泰 
1069,6103 ,合邦 
1070,6104 ,創惟 
1071,6129 ,普誠 
1072,6138 ,茂達 
1073,6147 ,頎邦 
1074,6182 ,合晶 
1075,6198 ,凌泰 
1076,6223 ,旺矽 
1077,6229 ,研通 
1078,6233 ,旺玖 
1079,6237 ,驊訊 
1080,6261 ,久元 
1081,6287 ,元隆 
1082,6291 ,沛亨 
1083,6411 ,晶焱 
1084,8024 ,佑華 
1085,8040 ,九暘 
1086,8054 ,安國 
1087,8079 ,誠遠 
1088,8086 ,宏捷科 
1089,8088 ,品安 
1090,8277 ,商丞 
1091,1569 ,濱川 
1092,3071 ,協禧 
1093,3088 ,艾訊 
1094,3211 ,順達 
1095,3213 ,茂訊 
1096,3287 ,廣寰科 
1097,3323 ,加百裕 
1098,3325 ,旭品 
1099,3479 ,安勤 
1100,3483 ,力致 
1101,3521 ,鴻翊 
1102,3540 ,曜越 
1103,3577 ,泓格 
1104,3594 ,磐儀 
1105,3611 ,鼎翰 
